KIDS,PERINSCQ,FDHOMECQ,UTILCQ
1.0,1408.0333,866.6667,560.0
0.0,192.75,866.6667,826.0
0.0,38.0,238.3333,681.0
0.0,0.0,433.3333,601.0
0.0,106.3333,238.3333,203.0
1.0,984.4667,650.0,649.0
1.0,358.15,693.3333,319.0
0.0,97.0,294.6667,219.0
1.0,828.8333,866.6667,496.6667
0.0,0.0,65.0,186.0
0.0,159.4167,333.6667,138.0
1.0,82.4167,845.0,271.0
0.0,884.8142,281.6667,439.0
1.0,1315.8833,411.6667,435.0
0.0,265.85,325.0,144.0
1.0,804.45,1313.3333,153.0
0.0,0.0,0.0,90.0
1.0,281.1333,173.3333,206.0
0.0,84.0,216.6667,185.0
0.0,719.5833,108.3333,135.0
1.0,885.5642,996.6667,971.0
1.0,96.4167,455.0,145.0
0.0,0.0,164.6667,415.0
0.0,0.0,433.3333,52.0
0.0,477.0,303.3333,397.0
1.0,499.5333,520.0,248.0
0.0,79.3,260.0,131.0
0.0,0.0,520.0,370.3333
0.0,0.0,303.3333,212.0
1.0,750.1667,411.6667,746.0
0.0,0.0,203.0,110.0
0.0,235.9167,180.0,194.0
0.0,0.0,541.6667,748.0
0.0,382.5,850.0,209.0
0.0,0.0,244.3333,0.0
0.0,0.0,260.0,270.0
0.0,22.3333,0.0,0.0
0.0,223.1667,325.0,242.0
0.0,0.0,346.6667,545.0
1.0,165.75,411.6667,238.0
1.0,1232.25,238.3333,450.0
0.0,0.0,130.0,168.0
1.0,349.9,653.3333,59.0
0.0,233.0,433.3333,20.0
0.0,571.5,290.3333,449.0
0.0,331.5,411.6667,340.0
0.0,342.95,541.6667,666.0
0.0,0.0,411.6667,258.0
1.0,250.7833,866.6667,223.0
0.0,639.1666,78.0,137.0
1.0,554.6667,650.0,672.0
0.0,573.75,273.0,257.0
0.0,314.5,294.6667,380.0
0.0,1769.6284,476.6667,450.0
1.0,279.9167,585.0,392.0
1.0,1250.8667,520.0,542.0
0.0,4665.3142,390.0,379.0
0.0,902.9167,151.6667,90.0
1.0,510.2,650.0,300.0
0.0,510.0,390.0,50.0
0.0,1047.5642,468.0,308.0
1.0,0.0,433.3333,396.0
0.0,0.0,606.6667,159.0
0.0,242.25,303.3333,139.0
1.0,197.6667,281.6667,196.0
0.0,0.0,1170.0,665.0
0.0,1048.0834,325.0,370.0
1.0,97.4333,433.3333,295.0
1.0,1724.5667,541.6667,287.0
1.0,1534.5833,346.6667,355.0
0.0,179.1667,281.6667,195.0
0.0,0.0,281.6667,297.0
0.0,252.0,325.0,287.0
1.0,819.5333,403.0,253.0
0.0,31.9167,411.6667,143.0
0.0,0.0,182.0,192.0
1.0,70.1667,433.3333,297.6667
0.0,890.9167,433.3333,561.0
0.0,764.8333,299.0,75.0
1.0,1783.1334,368.3333,387.0
1.0,331.5833,606.6667,371.0
0.0,246.25,151.6667,190.0
1.0,537.1667,645.6667,718.0
0.0,395.6167,346.6667,287.0
0.0,159.4167,251.3333,1215.0
0.0,0.0,498.3333,378.0
0.0,22.9167,346.6667,280.0
1.0,640.8167,780.0,746.0
0.0,0.0,130.0,108.0
1.0,456.0,650.0,477.0
0.0,446.25,758.3333,536.0
0.0,0.0,476.6667,339.0
0.0,649.25,325.0,303.0
0.0,293.25,173.3333,939.0
0.0,207.3667,346.6667,125.0
0.0,344.25,650.0,360.0
1.0,126.25,325.0,120.0
0.0,600.6,520.0,300.0
0.0,0.0,216.6667,98.0
0.0,435.1667,134.3333,131.0
1.0,184.9167,346.6667,210.0
1.0,637.5,1083.3333,460.0
0.0,269.9667,498.3333,170.0
0.0,408.0,368.3333,530.0
1.0,604.1667,433.3333,380.0
1.0,1.25,346.6667,290.0
0.0,737.4167,573.3333,491.0
0.0,0.0,325.0,177.0
1.0,38.25,541.6667,132.0
0.0,255.0,715.0,230.0
0.0,165.9333,260.0,55.0
1.0,34.9167,541.6667,491.0
1.0,89.25,216.6667,55.0
0.0,0.0,233.3333,187.0
1.0,797.5667,563.3333,291.0
0.0,420.75,216.6667,301.0
0.0,44.6667,238.3333,228.0
1.0,1123.8333,1083.3333,918.0
0.0,256.0,169.0,405.0
1.0,286.9167,520.0,178.0
0.0,0.0,650.0,501.0
0.0,0.0,151.6667,185.0
1.0,41.4167,563.3333,265.0
0.0,884.8142,485.3333,142.0
0.0,248.4333,238.3333,275.0
1.0,235.9833,520.0,291.0
0.0,122.0,344.0,194.0
1.0,73.9167,325.0,538.0
1.0,82.9167,975.0,360.0
